Application_number,Datum,Popis
2015-820,21.12.2015,podání žádosti o úplný průzkum
2015-820,28.06.2017,zveřejnění PV
2015-820,18.04.2018,publikace udělení patentu
2015-820,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-895,21.12.2015,podání přihlášky
2015-895,21.12.2015,podání žádosti o úplný průzkum
2015-895,28.06.2017,zveřejnění PV
2015-895,18.04.2018,publikace udělení patentu
2015-895,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-902,21.12.2015,podání přihlášky
2015-902,21.12.2015,podání žádosti o úplný průzkum
2015-902,28.06.2017,zveřejnění PV
2015-902,18.04.2018,publikace udělení patentu
2015-902,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-233,21.12.2015,podání přihlášky
2016-233,21.12.2015,podání žádosti o úplný průzkum
2016-233,28.06.2017,zveřejnění PV
2016-233,18.04.2018,publikace udělení patentu
2016-233,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-393,21.12.2015,podání přihlášky
2016-393,21.12.2015,podání žádosti o úplný průzkum
2016-393,28.06.2017,zveřejnění PV
2016-393,18.04.2018,publikace udělení patentu
2016-393,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-394,21.12.2015,podání přihlášky
2016-394,21.12.2015,podání žádosti o úplný průzkum
2016-394,28.06.2017,zveřejnění PV
2016-394,18.04.2018,publikace udělení patentu
2016-394,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-457,21.12.2015,podání přihlášky
2016-457,21.12.2015,podání žádosti o úplný průzkum
2016-457,28.06.2017,zveřejnění PV
2016-457,18.04.2018,publikace udělení patentu
2016-457,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-581,21.12.2015,podání přihlášky
2016-581,21.12.2015,podání žádosti o úplný průzkum
2016-581,28.06.2017,zveřejnění PV
2016-581,18.04.2018,publikace udělení patentu
2016-581,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-698,21.12.2015,podání přihlášky
2016-698,21.12.2015,podání žádosti o úplný průzkum
2016-698,28.06.2017,zveřejnění PV
2016-698,18.04.2018,publikace udělení patentu
2016-698,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-99,21.12.2015,podání přihlášky
2016-99,21.12.2015,podání žádosti o úplný průzkum
2016-99,28.06.2017,zveřejnění PV
2016-99,18.04.2018,publikace udělení patentu
2016-99,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-306,21.12.2015,podání přihlášky
2017-306,21.12.2015,podání žádosti o úplný průzkum
2017-306,28.06.2017,zveřejnění PV
2017-306,18.04.2018,publikace udělení patentu
2017-306,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-421,21.12.2015,podání přihlášky
2017-421,21.12.2015,podání žádosti o úplný průzkum
2017-421,28.06.2017,zveřejnění PV
2017-421,18.04.2018,publikace udělení patentu
2017-421,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-711,21.12.2015,podání přihlášky
2017-711,21.12.2015,podání žádosti o úplný průzkum
2017-711,28.06.2017,zveřejnění PV
2017-711,18.04.2018,publikace udělení patentu
2017-711,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-722,21.12.2015,podání přihlášky
2017-722,21.12.2015,podání žádosti o úplný průzkum
2017-722,28.06.2017,zveřejnění PV
2017-722,18.04.2018,publikace udělení patentu
2017-722,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-824,21.12.2015,podání přihlášky
2017-824,21.12.2015,podání žádosti o úplný průzkum
2017-824,28.06.2017,zveřejnění PV
2017-824,18.04.2018,publikace udělení patentu
2017-824,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-461,21.12.2015,podání přihlášky
2018-461,21.12.2015,podání žádosti o úplný průzkum
2018-461,28.06.2017,zveřejnění PV
2018-461,18.04.2018,publikace udělení patentu
2018-461,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-547,21.12.2015,podání přihlášky
2018-547,21.12.2015,podání žádosti o úplný průzkum
2018-547,28.06.2017,zveřejnění PV
2018-547,18.04.2018,publikace udělení patentu
2018-547,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-557,21.12.2015,podání přihlášky
2018-557,21.12.2015,podání žádosti o úplný průzkum
2018-557,28.06.2017,zveřejnění PV
2018-557,18.04.2018,publikace udělení patentu
2018-557,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-591,21.12.2015,podání přihlášky
2018-591,21.12.2015,podání žádosti o úplný průzkum
2018-591,28.06.2017,zveřejnění PV
2018-591,18.04.2018,publikace udělení patentu
2018-591,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-600,21.12.2015,podání přihlášky
2018-600,21.12.2015,podání žádosti o úplný průzkum
2018-600,28.06.2017,zveřejnění PV
2018-600,18.04.2018,publikace udělení patentu
2018-600,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-712,21.12.2015,podání přihlášky
2018-712,21.12.2015,podání žádosti o úplný průzkum
2018-712,28.06.2017,zveřejnění PV
2018-712,18.04.2018,publikace udělení patentu
2018-712,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-728,21.12.2015,podání přihlášky
2018-728,21.12.2015,podání žádosti o úplný průzkum
2018-728,28.06.2017,zveřejnění PV
2018-728,18.04.2018,publikace udělení patentu
2018-728,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-249,21.12.2015,podání přihlášky
2019-249,21.12.2015,podání žádosti o úplný průzkum
2019-249,28.06.2017,zveřejnění PV
2019-249,18.04.2018,publikace udělení patentu
2019-249,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-30,21.12.2015,podání přihlášky
2019-30,21.12.2015,podání žádosti o úplný průzkum
2019-30,28.06.2017,zveřejnění PV
2019-30,18.04.2018,publikace udělení patentu
2019-30,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-434,21.12.2015,podání přihlášky
2019-434,21.12.2015,podání žádosti o úplný průzkum
2019-434,28.06.2017,zveřejnění PV
2019-434,18.04.2018,publikace udělení patentu
2019-434,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-500,21.12.2015,podání přihlášky
2019-500,21.12.2015,podání žádosti o úplný průzkum
2019-500,28.06.2017,zveřejnění PV
2019-500,18.04.2018,publikace udělení patentu
2019-500,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-607,21.12.2015,podání přihlášky
2019-607,21.12.2015,podání žádosti o úplný průzkum
2019-607,28.06.2017,zveřejnění PV
2019-607,18.04.2018,publikace udělení patentu
2019-607,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-197,21.12.2015,podání přihlášky
2020-197,21.12.2015,podání žádosti o úplný průzkum
2020-197,28.06.2017,zveřejnění PV
2020-197,18.04.2018,publikace udělení patentu
2020-197,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-357,21.12.2015,podání přihlášky
2020-357,21.12.2015,podání žádosti o úplný průzkum
2020-357,28.06.2017,zveřejnění PV
2020-357,18.04.2018,publikace udělení patentu
2020-357,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-389,21.12.2015,podání přihlášky
2020-389,21.12.2015,podání žádosti o úplný průzkum
2020-389,28.06.2017,zveřejnění PV
2020-389,18.04.2018,publikace udělení patentu
2020-389,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-409,21.12.2015,podání přihlášky
2020-409,21.12.2015,podání žádosti o úplný průzkum
2020-409,28.06.2017,zveřejnění PV
2020-409,18.04.2018,publikace udělení patentu
2020-409,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-416,21.12.2015,podání přihlášky
2020-416,21.12.2015,podání žádosti o úplný průzkum
2020-416,28.06.2017,zveřejnění PV
2020-416,18.04.2018,publikace udělení patentu
2020-416,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-423,21.12.2015,podání přihlášky
2020-423,21.12.2015,podání žádosti o úplný průzkum
2020-423,28.06.2017,zveřejnění PV
2020-423,18.04.2018,publikace udělení patentu
2020-423,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-606,21.12.2015,podání přihlášky
2020-606,21.12.2015,podání žádosti o úplný průzkum
2020-606,28.06.2017,zveřejnění PV
2020-606,18.04.2018,publikace udělení patentu
2020-606,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-640,21.12.2015,podání přihlášky
2020-640,21.12.2015,podání žádosti o úplný průzkum
2020-640,28.06.2017,zveřejnění PV
2020-640,18.04.2018,publikace udělení patentu
2020-640,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-67,21.12.2015,podání přihlášky
2020-67,21.12.2015,podání žádosti o úplný průzkum
2020-67,28.06.2017,zveřejnění PV
2020-67,18.04.2018,publikace udělení patentu
2020-67,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-70,21.12.2015,podání přihlášky
2020-70,21.12.2015,podání žádosti o úplný průzkum
2020-70,28.06.2017,zveřejnění PV
2020-70,18.04.2018,publikace udělení patentu
2020-70,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-121,21.12.2015,podání přihlášky
2021-121,21.12.2015,podání žádosti o úplný průzkum
2021-121,28.06.2017,zveřejnění PV
2021-121,18.04.2018,publikace udělení patentu
2021-121,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-122,21.12.2015,podání přihlášky
2021-122,21.12.2015,podání žádosti o úplný průzkum
2021-122,28.06.2017,zveřejnění PV
2021-122,18.04.2018,publikace udělení patentu
2021-122,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-123,21.12.2015,podání přihlášky
2021-123,21.12.2015,podání žádosti o úplný průzkum
2021-123,28.06.2017,zveřejnění PV
2021-123,18.04.2018,publikace udělení patentu
2021-123,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-158,21.12.2015,podání přihlášky
2021-158,21.12.2015,podání žádosti o úplný průzkum
2021-158,28.06.2017,zveřejnění PV
2021-158,18.04.2018,publikace udělení patentu
2021-158,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-161,21.12.2015,podání přihlášky
2021-161,21.12.2015,podání žádosti o úplný průzkum
2021-161,28.06.2017,zveřejnění PV
2021-161,18.04.2018,publikace udělení patentu
2021-161,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-291,21.12.2015,podání přihlášky
2021-291,21.12.2015,podání žádosti o úplný průzkum
2021-291,28.06.2017,zveřejnění PV
2021-291,18.04.2018,publikace udělení patentu
2021-291,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39,21.12.2015,podání přihlášky
2021-39,21.12.2015,podání žádosti o úplný průzkum
2021-39,28.06.2017,zveřejnění PV
2021-39,18.04.2018,publikace udělení patentu
2021-39,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-486,21.12.2015,podání přihlášky
2021-486,21.12.2015,podání žádosti o úplný průzkum
2021-486,28.06.2017,zveřejnění PV
2021-486,18.04.2018,publikace udělení patentu
2021-486,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-586,21.12.2015,podání přihlášky
2021-586,21.12.2015,podání žádosti o úplný průzkum
2021-586,28.06.2017,zveřejnění PV
2021-586,18.04.2018,publikace udělení patentu
2021-586,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-326,21.12.2015,podání přihlášky
2022-326,21.12.2015,podání žádosti o úplný průzkum
2022-326,28.06.2017,zveřejnění PV
2022-326,18.04.2018,publikace udělení patentu
2022-326,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-35,21.12.2015,podání přihlášky
2022-35,21.12.2015,podání žádosti o úplný průzkum
2022-35,28.06.2017,zveřejnění PV
2022-35,18.04.2018,publikace udělení patentu
2022-35,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-514,21.12.2015,podání přihlášky
2022-514,21.12.2015,podání žádosti o úplný průzkum
2022-514,28.06.2017,zveřejnění PV
2022-514,18.04.2018,publikace udělení patentu
2022-514,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-546,21.12.2015,podání přihlášky
2022-546,21.12.2015,podání žádosti o úplný průzkum
2022-546,28.06.2017,zveřejnění PV
2022-546,18.04.2018,publikace udělení patentu
2022-546,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2023-179,21.12.2015,podání přihlášky
2023-179,21.12.2015,podání žádosti o úplný průzkum
2023-179,28.06.2017,zveřejnění PV
2023-179,18.04.2018,publikace udělení patentu
2023-179,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-27575,21.12.2015,podání přihlášky
2013-27575,21.12.2015,podání žádosti o úplný průzkum
2013-27575,28.06.2017,zveřejnění PV
2013-27575,18.04.2018,publikace udělení patentu
2013-27575,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-27652,21.12.2015,podání přihlášky
2013-27652,21.12.2015,podání žádosti o úplný průzkum
2013-27652,28.06.2017,zveřejnění PV
2013-27652,18.04.2018,publikace udělení patentu
2013-27652,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28336,21.12.2015,podání přihlášky
2013-28336,21.12.2015,podání žádosti o úplný průzkum
2013-28336,28.06.2017,zveřejnění PV
2013-28336,18.04.2018,publikace udělení patentu
2013-28336,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28399,21.12.2015,podání přihlášky
2013-28399,21.12.2015,podání žádosti o úplný průzkum
2013-28399,28.06.2017,zveřejnění PV
2013-28399,18.04.2018,publikace udělení patentu
2013-28399,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28440,21.12.2015,podání přihlášky
2013-28440,21.12.2015,podání žádosti o úplný průzkum
2013-28440,28.06.2017,zveřejnění PV
2013-28440,18.04.2018,publikace udělení patentu
2013-28440,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28741,21.12.2015,podání přihlášky
2013-28741,21.12.2015,podání žádosti o úplný průzkum
2013-28741,28.06.2017,zveřejnění PV
2013-28741,18.04.2018,publikace udělení patentu
2013-28741,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28952,21.12.2015,podání přihlášky
2013-28952,21.12.2015,podání žádosti o úplný průzkum
2013-28952,28.06.2017,zveřejnění PV
2013-28952,18.04.2018,publikace udělení patentu
2013-28952,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28953,21.12.2015,podání přihlášky
2013-28953,21.12.2015,podání žádosti o úplný průzkum
2013-28953,28.06.2017,zveřejnění PV
2013-28953,18.04.2018,publikace udělení patentu
2013-28953,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28955,21.12.2015,podání přihlášky
2013-28955,21.12.2015,podání žádosti o úplný průzkum
2013-28955,28.06.2017,zveřejnění PV
2013-28955,18.04.2018,publikace udělení patentu
2013-28955,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28995,21.12.2015,podání přihlášky
2013-28995,21.12.2015,podání žádosti o úplný průzkum
2013-28995,28.06.2017,zveřejnění PV
2013-28995,18.04.2018,publikace udělení patentu
2013-28995,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-29002,21.12.2015,podání přihlášky
2013-29002,21.12.2015,podání žádosti o úplný průzkum
2013-29002,28.06.2017,zveřejnění PV
2013-29002,18.04.2018,publikace udělení patentu
2013-29002,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-29003,21.12.2015,podání přihlášky
2013-29003,21.12.2015,podání žádosti o úplný průzkum
2013-29003,28.06.2017,zveřejnění PV
2013-29003,18.04.2018,publikace udělení patentu
2013-29003,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29045,21.12.2015,podání přihlášky
2014-29045,21.12.2015,podání žádosti o úplný průzkum
2014-29045,28.06.2017,zveřejnění PV
2014-29045,18.04.2018,publikace udělení patentu
2014-29045,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29120,21.12.2015,podání přihlášky
2014-29120,21.12.2015,podání žádosti o úplný průzkum
2014-29120,28.06.2017,zveřejnění PV
2014-29120,18.04.2018,publikace udělení patentu
2014-29120,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29752,21.12.2015,podání přihlášky
2014-29752,21.12.2015,podání žádosti o úplný průzkum
2014-29752,28.06.2017,zveřejnění PV
2014-29752,18.04.2018,publikace udělení patentu
2014-29752,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30039,21.12.2015,podání přihlášky
2014-30039,21.12.2015,podání žádosti o úplný průzkum
2014-30039,28.06.2017,zveřejnění PV
2014-30039,18.04.2018,publikace udělení patentu
2014-30039,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30163,21.12.2015,podání přihlášky
2014-30163,21.12.2015,podání žádosti o úplný průzkum
